STEP,優先度,No,質問,なぜ聞くか,例,選択肢,回答（ここに記入）
STEP 1: あなたの商売のこと,必修,Q1,屋号・会社名は？,提案書・SNSアカウント設計の核になります,,,
STEP 1: あなたの商売のこと,必修,Q2,業種・カテゴリは？,業界別の集客パターンが違うため、リサーチの起点になります,カフェ／美容室／クリニック／個人事務所／小売店／ドッグラン／士業など,,
STEP 1: あなたの商売のこと,必修,Q3,所在地は？（市区町村まで）,商圏分析と地域ハッシュタグ戦略の基礎になります,,,
STEP 1: あなたの商売のこと,必修,Q4,開業年・事業を始めた時期は？,「新規オープン」「老舗」など、訴求軸が変わります,,,
STEP 1: あなたの商売のこと,必修,Q5,あなたの商売を、家族や友人に説明するなら？（一言で）,あなた自身の言葉が、いちばん刺さるコピーになります,「他のわんちゃんを気にせずプライベートで遊べる完全予約制のドッグラン」,,
STEP 2: お客様のこと,必修,Q6,メインのお客様像は？（年代・性別・地域）,SNSのターゲット設定の核になります,30〜50代女性・岡山市内・小型犬を飼っている飼い主,,
STEP 2: お客様のこと,必修,Q7,そのお客様の暮らしを思い浮かべると？（仕事・家族・趣味など）,SNSで「響く時間帯」と「響く言葉」が見えてきます,共働き・子なし夫婦・週末は犬と過ごす時間が癒し,,
STEP 2: お客様のこと,必修,Q8,お客様が抱えている悩み・困りごとは？,SNS投稿の「お役立ち情報」の素材になります,他の犬と相性が心配／時間が取れない／近所のドッグランが満員,,
STEP 2: お客様のこと,必修,Q9,お客様が求めている「結果」「体験」は？,USP（独自の売り）と訴求コピーの素材になります,愛犬とふたりだけの安心できる時間／思いきり走らせてあげたい,,
STEP 2: お客様のこと,必修,Q10,何度も来てくれる「常連さん」の特徴は？,「同じような人を集める」戦略を組むための基準点になります,,,
STEP 2: お客様のこと,必修,Q11,逆に「来てほしくない」お客様の特徴は？（あれば）,誰を寄せないかを決めることで、ファンの濃度が上がります,ルールを守らない方／マナーが悪い方／値引き交渉が激しい方,,
STEP 3: 商品・サービスのこと,必修,Q12,主力商品・サービスは？（3つまで）,SNSで何を中心に発信するかを決めます,,,
STEP 3: 商品・サービスのこと,必修,Q13,料金体系は？（だいたいで結構です）,料金訴求の組み立て方を考えます,,,
STEP 3: 商品・サービスのこと,必修,Q14,最大の強み・他のお店にない特徴は？,これがUSP（独自の売り）の中核になります,,,
STEP 3: 商品・サービスのこと,必修,Q15,お客様によく言われる褒め言葉は？,お客様の言葉ほど刺さるコピーはありません,「ここは安心できる」「他のお店と違う」「子どもが喜んでた」,,
STEP 3: 商品・サービスのこと,必修,Q16,改善したい弱点・苦手なところは？（正直に）,弱みを把握すれば、SNSで触れない方が良い領域がわかります,,,
STEP 4: 今までの集客のこと,推奨,Q17,今までやってきた集客方法は？,過去の手応えから「効くチャネル」を見極めます,,チラシ／看板／ホームページ／Googleマップ／SNS／広告／紹介／何もしてない,
STEP 4: 今までの集客のこと,推奨,Q18,それぞれの効果や手応えは？（よかった/イマイチ）,うまくいったパターンをSNSにも応用します,,,
STEP 4: 今までの集客のこと,推奨,Q19,月の集客にかけている予算は？,SNS集客で投資できる範囲を見極めます,,0円／1万円以内／3万円以内／5万円以内／10万円以内／それ以上,
STEP 4: 今までの集客のこと,推奨,Q20,集客で今いちばん困っていることは？,解決の優先順位を決めます,,,
STEP 5: SNSの現状,必修,Q21,今使っているSNSは？（複数選択可）,,,Instagram／Facebook／X（旧Twitter）／TikTok／YouTube／LINE公式／Threads／LinkedIn／なし,
STEP 5: SNSの現状,必修,Q22,各SNSのフォロワー数は？（だいたいで）,スタート時点のベースラインを把握します,,,
STEP 5: SNSの現状,必修,Q23,投稿頻度と内容は？,現状の発信パターンを把握します,「Instagram週1で施設写真のみ」「Facebook月1でお知らせのみ」,,
STEP 5: SNSの現状,必修,Q24,SNSで困っていること・苦手なことは？,サポートの優先順位を決めます,「ネタが思いつかない」「写真が撮れない」「文章が苦手」「続かない」,,
STEP 5: SNSの現状,必修,Q25,SNSにかけられる時間は？（1日あたり）,,,5分以内／15分以内／30分以内／1時間以内／それ以上,
STEP 6: 競合・市場の認識,推奨,Q26,「競合だな」と感じているお店・サービスは？（最大3社）,あなたの主観で感じている競合は、いちばん正確な競合情報です,,,
STEP 6: 競合・市場の認識,推奨,Q27,その競合と比べて、自分の強みは？,,,,
STEP 6: 競合・市場の認識,推奨,Q28,その競合と比べて、自分の弱みは？（正直に）,,,,
STEP 6: 競合・市場の認識,推奨,Q29,業界のトレンドで気になっていることは？,業界の動きにSNS戦略を合わせるためです,,,
STEP 7: 目標と撤退ライン,必修,Q30,3ヶ月後、どうなっていたら「いい感じ」ですか？,短期ゴールを決めます。曖昧でOKです,「月の予約が今より20件増えていてほしい」,,
STEP 7: 目標と撤退ライン,必修,Q31,6ヶ月後の理想は？,,,,
STEP 7: 目標と撤退ライン,必修,Q32,1年後の理想は？,,,,
STEP 7: 目標と撤退ライン,必修,Q33,「これだけ頑張ってもダメなら撤退する」というラインは？,無理な継続を避け、健全に「やめ時」を判断します,「半年間やってフォロワー300人未満なら諦める」,,
STEP 8: 予算と体制,推奨,Q34,SNS運用にかけられる月予算は？,,,0円（自分で全部）／1万円以内／3万円以内／5万円以内／10万円以内／それ以上,
STEP 8: 予算と体制,推奨,Q35,初期投資の余力は？（撮影機材・編集アプリなど）,,,"5,000円まで／1万円まで／3万円まで／5万円まで／特に制約なし",
STEP 8: 予算と体制,推奨,Q36,SNS担当者・分担可能な人は？,「誰が」「いつ」動けるかで、運用設計が変わります,「自分1人」「スタッフ1名と分担」「家族が手伝える」,,
STEP 9: 動画撮影の現状,推奨,Q37,持っている撮影機材は？,,,スマホのみ／三脚あり／スタビライザーあり／リングライトあり／一眼カメラあり／マイクあり,
STEP 9: 動画撮影の現状,推奨,Q38,撮影できる時間帯・頻度は？,,「毎日15分・朝の開店前」「週末まとめて1時間」,,
STEP 9: 動画撮影の現状,推奨,Q39,過去に撮った写真・動画ストックは？,,,100枚以下／100〜500枚／500〜1000枚／1000枚以上／ほぼなし,
STEP 9: 動画撮影の現状,推奨,Q40,撮影スキルの自己評価は？（10点満点）,,,1-2点（苦手）／3-4点／5-6点（普通）／7-8点／9-10点（自信あり）,
STEP 10: 作業分担の希望,任意,Q41,自分（自社）でやりたい作業は？,,,撮影／投稿（ボタン押す）／コメント返信／ハッシュタグ選び／編集／企画,
STEP 10: 作業分担の希望,任意,Q42,神崎／アートソウルに任せたい作業は？,,,戦略設計／投稿テンプレ作成／撮影指示書／動画編集／月次分析レポート／画像生成（AI）／キャプション作成／ハッシュタグ最適化,
その他,任意,+,その他、伝えたいこと,,,,
